1조,1,협치
1조,2,공존
1조,3,이해
1조,4,사람
1조,5,소통
1조,6,협력
1조,7,다함께
1조,8,신뢰
1조,9,시민
2조,1,구민
2조,2,우리
2조,3,공동
2조,4,타협
2조,5,설득
2조,6,공유
2조,7,신뢰
2조,8,문화
2조,9,노력
3조,1,제안
3조,2,투표
3조,3,협조
3조,4,노력
3조,5,권한
3조,6,지역
3조,7,풀뿌리
3조,8,소통
3조,9,배려
4조,1,상호이해
4조,2,참여
4조,3,함께
4조,4,친밀
4조,5,민주
4조,6,공동체
4조,7,참여
4조,8,협력
4조,9,이해
5조,1,소통
5조,2,오픈마인드
5조,3,예산
5조,4,아이디어
5조,5,공간
5조,6,평등
5조,7,논의
5조,8,협업
5조,9,협의
6조,1,느긋함
6조,2,이해
6조,3,존중
6조,4,이해
6조,5,우리
6조,6,노력
6조,7,배려
6조,8,민주
6조,9,이해
7조,1,협의
7조,2,공존
7조,3,소통
7조,4,느긋함
7조,5,노력
7조,6,이해
7조,7,소통
7조,8,다함께
7조,9,설득
8조,1,참여
8조,2,소통
8조,3,참여
8조,4,이해
8조,5,타협
8조,6,협조
8조,7,지역
8조,8,친밀
8조,9,참여
9조,1,소통
9조,2,아이디어
9조,3,느긋함
9조,4,민주
9조,5,이해
9조,6,공존
9조,7,이해
9조,8,다함께
9조,9,타협
10조,1,노력
10조,2,제안
10조,3,소통
10조,4,협력
10조,5,다함께
10조,6,신뢰
10조,7,권한
10조,8,지역
10조,9,풀뿌리
11조,1,소통
11조,2,우리
11조,3,배려
11조,4,이해
11조,5,소통
11조,6,지역
11조,7,친밀
11조,8,이해
11조,9,소통
12조,1,공동
12조,2,신뢰
12조,3,협조
12조,4,소통
12조,5,민주
12조,6,소통
12조,7,다함께
12조,8,이해
12조,9,이해
13조,1,존중
13조,2,이해
13조,3,설득
13조,4,노력
13조,5,함께
13조,6,이해
13조,7,협력
13조,8,권한
13조,9,친밀
14조,1,소통
14조,2,타협
14조,3,지역
14조,4,참여
14조,5,공존
14조,6,소통
14조,7,공유
14조,8,예산
14조,9,민주
15조,1,느긋함
15조,2,소통
15조,3,이해
15조,4,다함께
15조,5,친밀
15조,6,소통
15조,7,이해
15조,8,권한
15조,9,협치
16조,1,소통
16조,2,공동
16조,3,노력
16조,4,상호이해
16조,5,이해
16조,6,평등
16조,7,이해
16조,8,타협
16조,9,소통
